
A
bed  침대
catch  잡다
death  죽음
fine  좋은, 잘
hat  모자
knife  칼, 나이프 
must  ~해야 하다
point  가리키다, 요점
she  그녀
take  가지고 가다
up  위로, ~위에
a/an  하나(의)
bee  꿀벌, 벌
center  중심, 가운데
decide  결정하다
finger  손가락
hate  미워하다
know  알고 있다 
N
police  경찰
ship  배 
talk  얘기하다
use  사용(하다)
about  ~에 대한, 대략
beef  소고기
certain  확실한, 어떤
deep  깊은, 깊이
finish  끝내다, 끝나다
have  가지고 있다, 먹다
L
name  이름
poor  가난한
shirt  셔츠
tall  키가 큰, 높은
V
above  ~보다 위에
before  ~하기 전에
chair  의자
delicious  맛있는
fire  불, 화재
he  그, 그 남자
lady  여자, 숙녀
nation  국가, 나라
potato  감자
shoe  신발
tape  테이프
vegetable  채소
across  ~의 건너편에
begin  시작하다
chance  기회, 가능성
design  디자인(하다)
first  첫째의, 우선
head  머리, 가다
lake  호수
nature  자연, 본성
power  힘, 권력
shop  가게, 물건을 사다
taste  맛이 나다 
very  매우, 아주
act  행동[연기]하다
behind  ~의 뒤에
change  변하다
desk  책상
fish  물고기, 낚시하다
heart  하트(모양), 심장
land  땅, 착륙하다
near  ~의 가까이에
present  선물, 현재
short  짧은, 키가 작은
taxi  택시
video  비디오, 녹화
add  더하다 
believe  믿다
cheap  값싼, 저렴한
dialog/dialogue  대화
five  5, 다섯
heat  열(기), 데우다
large  큰, 많은
neck  목
pretty  예쁜, 꽤
should  ~해야 한다
teach  가르치다
violin  바이올린
address  주소
bell  종, 초인종
check  확인하다
die  죽다
fix  고치다
heavy  무거운
laser  레이저
need  필요하다
prince  왕자
show  보여주다
team  (경기 등의) 팀
visit  방문(하다)
adult  어른, 성인
below  ~이하의
cheese  치즈
difficult  어려운
floor  바닥, 층
hello/hi  안녕(하세요)
last  마지막, 지난
never  결코 ~않다
print  인쇄(하다)
shy  수줍어하는
telephone/phone  전화
voice  목소리
afraid  두려워하는
belt  허리띠, 벨트
chicken  닭(고기)
dinner  저녁 식사
flower  꽃
helmet  헬멧
late  늦은, 늦게
new  새로운
problem  문제
sick  아픈
television/TV  텔레비전
W
after  ~한 후에
beside  ~옆에
child  아이
discuss  논의하다
fly  날다, 파리
help  돕다, 도움
lazy  게으른
news  소식, 뉴스
program  프로그램
side  쪽, 옆면
tell  말하다
wait  기다리다
afternoon  오후
between  ~의 사이에
chocolate  초콜릿
do  ~을 하다
focus  집중하다
here  여기(에)
learn  배우다
newspaper  신문
project  프로젝트
sing  노래하다
ten  10, 열
wake  (잠에서) 깨다
again  다시
big  큰, 커다란
choose  선택하다
doctor  의사, 박사
food  음식, 식품
hero  영웅, 히어로
left  왼쪽(의)
next  다음의, 옆의
puppy  강아지
sister  여자 형제
tennis  테니스
walk  걷다, 산책하다
against  ~에 반대하여
bike  자전거
church  교회
dog  개 
fool  바보, 속이다
high  높은, 높이
leg  다리
nice  좋은, 친절한
push  밀다
sit  앉다
tent  텐트, 천막
wall  벽, 담
age  나이
bill  계산서, 지폐
circle  원, 동그라미
doll  인형
foot  발
hike  하이킹(가다)
lesson  수업, 교훈
night  밤
put  놓다, 두다
six  6, 여섯
test  시험,  검사하다
want  원하다
ago  [시간] ~전에 
bird  새
city  도시
door  문
football  (미식)축구
hill  언덕
letter  편지, 글자
nine  9, 아홉
Q
size  크기, 사이즈
textbook  교과서
war  전쟁
agree  동의하다
birth  출생, 출산
class  수업, 학급
double  두 배(의)
for  ~동안, ~을 위해
history  역사
library  도서관, 서재
no  아니, 안 돼
queen  여왕
skate  스케이트
than  ~보다
warm  따뜻한, 데우다
ahead  앞에, 미리
biscuit  비스킷
clean  청소하다, 깨끗한
doughnut/donut  도넛
forest  숲
hit  때리다, 치다
lie  거짓말(하다)
north  북쪽(의)
question  질문
ski  스키
thank  감사하다
wash  씻다
air  공기, 대기
black  검은(색)
clear  맑은, 분명한
down  아래에, 아래로
forget  잊다
hobby  취미
life  인생, 생명
nose  코
quick  빠른
skin  피부, 껍질
that  저, 저 사람, 저것
watch  보다, 손목시계
airplane/plane  비행기
blood  피, 혈액
clever  똑똑한
draw  그리다
fork  포크
hold  잡다, (회의를) 열다
light  빛, 가벼운
not  ~이 아니다
quiet  조용한
skirt  치마, 스커트
the  그
water  물, 물을 주다
album  사진첩, 앨범
blue  파란(색)
climb  오르다, 등반하다
dream  꿈(을 꾸다)
form  서식(양식)
holiday  휴가, 휴일
like  좋아하다, ~처럼
note  메모, 쪽지
quiz  퀴즈, 시험
sky  하늘
there  저기에, 그곳에
watermelon  수박
all  모든, 모두
board  게시판, 판자
clock  (벽에 거는) 시계
dress  드레스, 옷
four  4, 넷
home  집(으로)
line  선, 줄
notebook  공책, 노트
R
sleep  잠을 자다
they  그들, 그것들
way  길, 방법
almost  거의
boat  배, 보트
close  닫다, 가까운
drink  마시다, 마실 것
fox  여우
homework  숙제
lion  사자
nothing  아무것도 ~아니다
rabbit  토끼
slow  느린, 느리게
thing  [사물] 것, 물건
we  우리
alone  혼자(인)
body  몸, 신체
clothes  옷
drive  운전하다
free  무료의, 자유로운
honest  정직한, 솔직한
lip  입술
now  지금, 이제
race  경주(하다)
small  작은
think  생각하다
wear  (옷 등을) 입고 있다
along  ~을 따라서
bone  뼈
cloud  구름
drop  떨어뜨리다
fresh  신선한
hope  희망(하다)
listen  듣다
number  수, 숫자
radio  라디오
smell  냄새가 나다
third  세 번째(의)
weather  날씨
already  이미, 벌써
book  책
club  동호회, 동아리
drum  북, 드럼
friend  친구
horse  말
little  약간의, 어린
nurse  간호사
rain  비가 오다
smile  미소 짓다
thirsty  갈증이 나는
website  웹사이트
alright  괜찮은, 좋은
borrow  빌리다
coat  외투, 코트
dry  말리다, 건조한
